Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score,Year,Time,Time_in_seconds,Nat_Corrected,Two_Letter_ISO,Flag_Datawrapper,Country_Name,Gender
11,2:05:31,,Evans CHEBET,10 NOV 1988,KEN,3,,Berlin (GER),25 SEP 2016,1236,2016,0 days 02:05:31,7531,KEN,ke,:ke:,Kenya,F
12,2:05:44,,Mule WASIHUN,20 OCT 1993,ETH,5,,Dubai (UAE),22 JAN 2016,1232,2016,0 days 02:05:44,7544,ETH,et,:et:,Ethiopia,F
13,2:05:45,,Sammy KITWARA,26 NOV 1986,KEN,2,,Amsterdam (NED),16 OCT 2016,1232,2016,0 days 02:05:45,7545,KEN,ke,:ke:,Kenya,F
14,2:05:47,,Marius KIMUTAI,10 DEC 1992,KEN,3,,Amsterdam (NED),16 OCT 2016,1231,2016,0 days 02:05:47,7547,KEN,ke,:ke:,Kenya,F
15,2:05:54,,Laban Kipngetich KORIR,30 JUN 1985,KEN,4,,Amsterdam (NED),16 OCT 2016,1229,2016,0 days 02:05:54,7554,KEN,ke,:ke:,Kenya,F
16,2:06:07,,Ezekiel CHEBII,03 JAN 1991,KEN,5,,Amsterdam (NED),16 OCT 2016,1225,2016,0 days 02:06:07,7567,KEN,ke,:ke:,Kenya,F
17,2:06:10,,Kaan Kigen ÖZBILEN,15 JAN 1986,KEN,3,,Seoul (KOR),20 MAR 2016,1225,2016,0 days 02:06:10,7570,KEN,ke,:ke:,Kenya,F
18,2:06:11,,Marius KIPSEREM,17 MAY 1988,KEN,1,,Rotterdam (NED),10 APR 2016,1224,2016,0 days 02:06:11,7571,KEN,ke,:ke:,Kenya,F
19,2:06:22,,Solomon DEKSISA,11 MAR 1994,ETH,2,,Rotterdam (NED),10 APR 2016,1221,2016,0 days 02:06:22,7582,ETH,et,:et:,Ethiopia,F
20,2:06:25,,Felix Kipchirchir KANDIE,10 APR 1987,KEN,6,,Amsterdam (NED),16 OCT 2016,1220,2016,0 days 02:06:25,7585,KEN,ke,:ke:,Kenya,F
21,2:06:26,,Festus TALAM,20 OCT 1994,KEN,1,,Eindhoven (NED),09 OCT 2016,1220,2016,0 days 02:06:26,7586,KEN,ke,:ke:,Kenya,F
22,2:06:27,,Geoffrey KIRUI,16 FEB 1993,KEN,7,,Amsterdam (NED),16 OCT 2016,1220,2016,0 days 02:06:27,7587,KEN,ke,:ke:,Kenya,F
23,2:06:40,,Tadesse ABRAHAM,12 AUG 1982,SUI,4,,Seoul (KOR),20 MAR 2016,1216,2016,0 days 02:06:40,7600,CHE,ch,:ch:,,F
24,2:06:45,,Abayneh AYELE,04 NOV 1987,ETH,6,,Dubai (UAE),22 JAN 2016,1215,2016,0 days 02:06:45,7605,ETH,et,:et:,Ethiopia,F
24,2:06:45,,Bernard Kiprop KIPYEGO,16 JUL 1986,KEN,8,,Amsterdam (NED),16 OCT 2016,1215,2016,0 days 02:06:45,7605,KEN,ke,:ke:,Kenya,F
26,2:06:48,,Mark KORIR,06 AUG 1988,KEN,1,,Frankfurt (GER),30 OCT 2016,1214,2016,0 days 02:06:48,7608,KEN,ke,:ke:,Kenya,F
27,2:06:51,,Franklin CHEPKWONY,15 JUN 1984,KEN,5,,Seoul (KOR),20 MAR 2016,1213,2016,0 days 02:06:51,7611,KEN,ke,:ke:,Kenya,F
28,2:06:53,,Samuel Kiplimo KOSGEI,20 JAN 1986,KEN,7,,Dubai (UAE),22 JAN 2016,1212,2016,0 days 02:06:53,7613,KEN,ke,:ke:,Kenya,F
29,2:06:56,,Feyisa LILESA,01 FEB 1990,ETH,1,,Tokyo (JPN),28 FEB 2016,1212,2016,0 days 02:06:56,7616,ETH,et,:et:,Ethiopia,F
30,2:06:58,,Filex Kipchirchir KIPROTICH,07 DEC 1988,KEN,1,,Gongju (KOR),16 OCT 2016,1211,2016,0 days 02:06:58,7618,KEN,ke,:ke:,Kenya,F
31,2:07:11,,CyBrian KOTUT,06 JUN 1992,KEN,1,,Paris (FRA),03 APR 2016,1207,2016,0 days 02:07:11,7631,KEN,ke,:ke:,Kenya,F
32,2:07:20,,Philemon RONO,08 FEB 1991,KEN,2,,Hamburg (GER),17 APR 2016,1205,2016,0 days 02:07:20,7640,KEN,ke,:ke:,Kenya,F
33,2:07:21,,Lukas Lokobe KANDA,01 JAN 1983,KEN,1,,Chuncheon (KOR),23 OCT 2016,1205,2016,0 days 02:07:21,7641,KEN,ke,:ke:,Kenya,F
34,2:07:22,,Martin KIPRUGUT KOSGEY,21 MAR 1989,KEN,2,,Frankfurt (GER),30 OCT 2016,1204,2016,0 days 02:07:22,7642,KEN,ke,:ke:,Kenya,F
35,2:07:24,,Lawrence CHERONO,07 AUG 1988,KEN,1,,Praha (CZE),08 MAY 2016,1204,2016,0 days 02:07:24,7644,KEN,ke,:ke:,Kenya,F
36,2:07:30,,Asbel KIPSANG,10 SEP 1993,KEN,6,,Seoul (KOR),20 MAR 2016,1202,2016,0 days 02:07:30,7650,KEN,ke,:ke:,Kenya,F
37,2:07:34,,Dickson CHUMBA,27 OCT 1986,KEN,3,,Tokyo (JPN),28 FEB 2016,1201,2016,0 days 02:07:34,7654,KEN,ke,:ke:,Kenya,F
38,2:07:37,,Stephen CHEMLANY,09 AUG 1982,KEN,3,,Paris (FRA),03 APR 2016,1200,2016,0 days 02:07:37,7657,KEN,ke,:ke:,Kenya,F
39,2:07:39,,Victor KIPCHIRCHIR,05 DEC 1987,KEN,1,,Valencia (ESP),20 NOV 2016,1200,2016,0 days 02:07:39,7659,KEN,ke,:ke:,Kenya,F
40,2:07:46,,Stephen KIPROTICH,27 FEB 1989,UGA,4,,Tokyo (JPN),28 FEB 2016,1198,2016,0 days 02:07:46,7666,UGA,ug,:ug:,Uganda,F
40,2:07:46,,Ghirmay GHEBRESLASSIE,14 NOV 1995,ERI,4,,London (GBR),24 APR 2016,1198,2016,0 days 02:07:46,7666,ERI,er,:er:,Eritrea,F
42,2:07:47,,Eliud KIPTANUI,06 JUN 1989,KEN,5,,Berlin (GER),25 SEP 2016,1197,2016,0 days 02:07:47,7667,KEN,ke,:ke:,Kenya,F
43,2:07:48,,Abera KUMA,31 AUG 1990,ETH,10,,Amsterdam (NED),16 OCT 2016,1197,2016,0 days 02:07:48,7668,ETH,et,:et:,Ethiopia,F
44,2:07:49,,Ernest NGENO,20 MAY 1995,KEN,2,,Gongju (KOR),16 OCT 2016,1197,2016,0 days 02:07:49,7669,KEN,ke,:ke:,Kenya,F
45,2:08:03,,Micah Kemboi KOGO,30 JUN 1986,KEN,4,,Paris (FRA),03 APR 2016,1193,2016,0 days 02:08:03,7683,KEN,ke,:ke:,Kenya,F
45,2:08:03,,Robert KWAMBAI,22 NOV 1985,KEN,3,,Gongju (KOR),16 OCT 2016,1193,2016,0 days 02:08:03,7683,KEN,ke,:ke:,Kenya,F
47,2:08:04,,Gilbert YEGON,06 AUG 1988,KEN,2,,Valencia (ESP),20 NOV 2016,1192,2016,0 days 02:08:04,7684,KEN,ke,:ke:,Kenya,F
48,2:08:06,,Abel KIRUI,06 APR 1982,KEN,5,,Tokyo (JPN),28 FEB 2016,1192,2016,0 days 02:08:06,7686,KEN,ke,:ke:,Kenya,F
49,2:08:07,,Joel Kemboi KIMURER,21 JAN 1988,KEN,1,,Seoul (KOR),30 OCT 2016,1192,2016,0 days 02:08:07,7687,KEN,ke,:ke:,Kenya,F
50,2:08:11,,Tilahun REGASSA,18 JAN 1990,ETH,8,,Dubai (UAE),22 JAN 2016,1191,2016,0 days 02:08:11,7691,ETH,et,:et:,Ethiopia,F
51,2:08:12,,Amos KIPRUTO,16 SEP 1992,KEN,1,,Roma (ITA),10 APR 2016,1190,2016,0 days 02:08:12,7692,KEN,ke,:ke:,Kenya,F
51,2:08:12,,Peter Cheruiyot KIRUI,02 JAN 1988,KEN,3,,Valencia (ESP),20 NOV 2016,1190,2016,0 days 02:08:12,7692,KEN,ke,:ke:,Kenya,F
53,2:08:14,,Cosmas LAGAT,12 DEC 1990,KEN,1,,Sevilla (ESP),21 FEB 2016,1190,2016,0 days 02:08:14,7694,KEN,ke,:ke:,Kenya,F
53,2:08:14,,Dino SEFIR,28 MAY 1988,ETH,1,,Ottawa (CAN),29 MAY 2016,1190,2016,0 days 02:08:14,7694,ETH,et,:et:,Ethiopia,F
55,2:08:17,,Gebretsadik ABRAHA,16 JUL 1992,ETH,5,,Paris (FRA),03 APR 2016,1189,2016,0 days 02:08:17,7697,ETH,et,:et:,Ethiopia,F
56,2:08:19,,Sammy Kigen KORIR,22 SEP 1985,KEN,11,,Amsterdam (NED),16 OCT 2016,1188,2016,0 days 02:08:19,7699,KEN,ke,:ke:,Kenya,F
56,2:08:19,,Wilson Kwambai CHEBET,12 JUL 1985,KEN,12,,Amsterdam (NED),16 OCT 2016,1188,2016,0 days 02:08:19,7699,KEN,ke,:ke:,Kenya,F
58,2:08:20,,Ishimael BUSHENDICH,07 JUL 1991,KEN,2,,Milano (ITA),03 APR 2016,1188,2016,0 days 02:08:20,7700,KEN,ke,:ke:,Kenya,F
59,2:08:23,,Hillary KIPCHUMBA,1985,KEN,4,,Gongju (KOR),16 OCT 2016,1187,2016,0 days 02:08:23,7703,KEN,ke,:ke:,Kenya,F
60,2:08:28,,Alfers LAGAT,07 AUG 1986,KEN,6,,Paris (FRA),03 APR 2016,1186,2016,0 days 02:08:28,7708,KEN,ke,:ke:,Kenya,F
61,2:08:31,,Solomon Kirwa YEGO,10 MAY 1987,KEN,3,,Praha (CZE),08 MAY 2016,1185,2016,0 days 02:08:31,7711,KEN,ke,:ke:,Kenya,F
61,2:08:31,,John Nzau MWANGANGI,11 JAN 1990,KEN,4,,Valencia (ESP),20 NOV 2016,1185,2016,0 days 02:08:31,7711,KEN,ke,:ke:,Kenya,F
63,2:08:34,,Thomas KIPLAGAT,01 MAR 1987,KEN,9,,Dubai (UAE),22 JAN 2016,1184,2016,0 days 02:08:34,7714,KEN,ke,:ke:,Kenya,F
64,2:08:35,,Gideon Kipkemoi KIPKETER,10 NOV 1992,KEN,1,,Mumbai (IND),17 JAN 2016,1184,2016,0 days 02:08:35,7715,KEN,ke,:ke:,Kenya,F
65,2:08:38,,Kenneth Mburu MUNGARA,07 SEP 1973,KEN,3,,Milano (ITA),03 APR 2016,1183,2016,0 days 02:08:38,7718,KEN,ke,:ke:,Kenya,F
66,2:08:39,,Raymond Kipchumba CHOGE,02 JAN 1988,KEN,1,,Köln (GER),02 OCT 2016,1183,2016,0 days 02:08:39,7719,KEN,ke,:ke:,Kenya,F
67,2:08:41,,Asefa MENGSTU,22 JAN 1988,ETH,1,,Cape Town (RSA),18 SEP 2016,1182,2016,0 days 02:08:41,7721,ETH,et,:et:,Ethiopia,F
68,2:08:47,,Emmanuel Tirop KETER,1980,KEN,2,,Cape Town (RSA),18 SEP 2016,1180,2016,0 days 02:08:47,7727,KEN,ke,:ke:,Kenya,F
69,2:08:48,,Limenih GETACHEW,30 APR 1990,ETH,4,,Rotterdam (NED),10 APR 2016,1180,2016,0 days 02:08:48,7728,ETH,et,:et:,Ethiopia,F
69,2:08:48,,Yemane TSEGAY,08 APR 1985,ETH,1,,Fukuoka (JPN),04 DEC 2016,1180,2016,0 days 02:08:48,7728,ETH,et,:et:,Ethiopia,F
71,2:08:51,,Pius Dominic ONDORO,03 MAR 1988,KEN,1,,St. Paul (USA),09 OCT 2016,1179,2016,0 days 02:08:51,7731,KEN,ke,:ke:,Kenya,F
72,2:08:53,,Yitayal Atnafu ZERIHUN,20 JAN 1993,ETH,7,,Paris (FRA),03 APR 2016,1179,2016,0 days 02:08:53,7733,ETH,et,:et:,Ethiopia,F
72,2:08:53,,Lucas Kimeli ROTICH,16 APR 1990,KEN,2,,"New York, NY (USA)",06 NOV 2016,1179,2016,0 days 02:08:53,7733,KEN,ke,:ke:,Kenya,F
74,2:08:54,,Kelkile GEZAHEGN,01 OCT 1996,ETH,1,,Hefei (CHN),12 NOV 2016,1179,2016,0 days 02:08:54,7734,ETH,et,:et:,Ethiopia,F
75,2:08:55,,Ezekiel KEMBOI OMULLO,10 DEC 1987,KEN,1,,Warszawa (POL),25 SEP 2016,1178,2016,0 days 02:08:55,7735,KEN,ke,:ke:,Kenya,F
76,2:08:56,,Jacob Kibet Chulyo KENDAGOR,24 AUG 1984,KEN,7,,Seoul (KOR),20 MAR 2016,1178,2016,0 days 02:08:56,7736,KEN,ke,:ke:,Kenya,F
77,2:08:57,,Patrick Makau MUSYOKI,02 MAR 1985,KEN,2,,Fukuoka (JPN),04 DEC 2016,1178,2016,0 days 02:08:57,7737,KEN,ke,:ke:,Kenya,F
78,2:08:58,,David Kemboi KIYENG,22 APR 1983,KEN,1,,Košice (SVK),02 OCT 2016,1177,2016,0 days 02:08:58,7738,KEN,ke,:ke:,Kenya,F
79,2:09:01,,Yuki KAWAUCHI,05 MAR 1987,JPN,2,,Gold Coast (AUS),03 JUL 2016,1177,2016,0 days 02:09:01,7741,JPN,jp,:jp:,Japan,F
79,2:09:01,,Ronald KORIR,10 APR 1991,KEN,2,,Seoul (KOR),30 OCT 2016,1177,2016,0 days 02:09:01,7741,KEN,ke,:ke:,Kenya,F
81,2:09:03,,Birhanu TESHOME,1996,ETH,2,,Hefei (CHN),12 NOV 2016,1176,2016,0 days 02:09:03,7743,ETH,et,:et:,Ethiopia,F
82,2:09:05,,Reuben KERIO,02 JUN 1994,KEN,1,,Brescia (ITA),13 MAR 2016,1175,2016,0 days 02:09:05,7745,KEN,ke,:ke:,Kenya,F
83,2:09:06,,Edwin KOECH,14 DEC 1987,KEN,1,,Linz (AUT),03 APR 2016,1175,2016,0 days 02:09:06,7746,KEN,ke,:ke:,Kenya,F
84,2:09:16,,Hisanori KITAJIMA,16 OCT 1984,JPN,2,,Otsu (JPN),06 MAR 2016,1172,2016,0 days 02:09:16,7756,JPN,jp,:jp:,Japan,F
84,2:09:16,,Laban MUTAI,15 JAN 1988,KEN,1,,Ljubljana (SLO),30 OCT 2016,1172,2016,0 days 02:09:16,7756,KEN,ke,:ke:,Kenya,F
86,2:09:19,,Alphonce Felix SIMBU,14 FEB 1992,TAN,3,,Otsu (JPN),06 MAR 2016,1172,2016,0 days 02:09:19,7759,TZA,tz,:tz:,,F
86,2:09:19,,Nobert KIGEN,24 JAN 1993,KEN,3,,Eindhoven (NED),09 OCT 2016,1172,2016,0 days 02:09:19,7759,KEN,ke,:ke:,Kenya,F
86,2:09:19,,Philip Sanga KIMUTAI,10 SEP 1983,KEN,2,,Ljubljana (SLO),30 OCT 2016,1172,2016,0 days 02:09:19,7759,KEN,ke,:ke:,Kenya,F
86,2:09:19,,Chele DECHASA,13 JUN 1984,ETH,3,,Seoul (KOR),30 OCT 2016,1172,2016,0 days 02:09:19,7759,ETH,et,:et:,Ethiopia,F
90,2:09:20,,Seboka Dibaba TOLA,10 NOV 1987,ETH,2,,Mumbai (IND),17 JAN 2016,1171,2016,0 days 02:09:20,7760,ETH,et,:et:,Ethiopia,F
91,2:09:21,,Barnabas KIPTUM,08 DEC 1986,KEN,3,,Cape Town (RSA),18 SEP 2016,1171,2016,0 days 02:09:21,7761,KEN,ke,:ke:,Kenya,F
92,2:09:24,,Mesfin TESHOME,,ETH,10,,Dubai (UAE),22 JAN 2016,1170,2016,0 days 02:09:24,7764,ETH,et,:et:,Ethiopia,F
92,2:09:24,,Elija KEMBOI,10 SEP 1984,KEN,2,,Košice (SVK),02 OCT 2016,1170,2016,0 days 02:09:24,7764,KEN,ke,:ke:,Kenya,F
94,2:09:25,,Suehiro ISHIKAWA,27 SEP 1979,JPN,4,,Otsu (JPN),06 MAR 2016,1170,2016,0 days 02:09:25,7765,JPN,jp,:jp:,Japan,F
94,2:09:25,,Duncan Kipkurui MAIYO,05 AUG 1990,KEN,4,,Eindhoven (NED),09 OCT 2016,1170,2016,0 days 02:09:25,7765,KEN,ke,:ke:,Kenya,F
96,2:09:27,,Melaku ABERA,20 APR 1994,ETH,1,,Oita (JPN),07 FEB 2016,1169,2016,0 days 02:09:27,7767,ETH,et,:et:,Ethiopia,F
96,2:09:27,,Birhanu ADDISIE,13 SEP 1995,ETH,2,,Roma (ITA),10 APR 2016,1169,2016,0 days 02:09:27,7767,ETH,et,:et:,Ethiopia,F
96,2:09:27,,Dickson TUWEI,31 OCT 1992,KEN,1,,Dongying (CHN),08 MAY 2016,1169,2016,0 days 02:09:27,7767,KEN,ke,:ke:,Kenya,F
99,2:09:28,,Dominic RUTO,05 MAY 1990,KEN,3,,Roma (ITA),10 APR 2016,1169,2016,0 days 02:09:28,7768,KEN,ke,:ke:,Kenya,F
99,2:09:28,,Tujuba Beyu MEGERSA,1987,ETH,4,,Roma (ITA),10 APR 2016,1169,2016,0 days 02:09:28,7768,ETH,et,:et:,Ethiopia,F
1,2:03:32,,Eliud KIPCHOGE,05 NOV 1984,KEN,1,,Berlin (GER),24 SEP 2017,1270,2017,0 days 02:03:32,7412,KEN,ke,:ke:,Kenya,F
2,2:03:46,,Guye Idemo ADOLA,20 OCT 1990,ETH,2,,Berlin (GER),24 SEP 2017,1266,2017,0 days 02:03:46,7426,ETH,et,:et:,Ethiopia,F
3,2:03:58,,Wilson Kipsang KIPROTICH,15 MAR 1982,KEN,1,,Tokyo (JPN),26 FEB 2017,1262,2017,0 days 02:03:58,7438,KEN,ke,:ke:,Kenya,F
4,2:04:11,,Tamirat TOLA,11 AUG 1991,ETH,1,,Dubai (UAE),20 JAN 2017,1259,2017,0 days 02:04:11,7451,ETH,et,:et:,Ethiopia,F
5,2:05:09,,Lawrence CHERONO,07 AUG 1988,KEN,1,,Amsterdam (NED),15 OCT 2017,1242,2017,0 days 02:05:09,7509,KEN,ke,:ke:,Kenya,F
6,2:05:13,,Nobert KIGEN,24 JAN 1993,KEN,2,,Amsterdam (NED),15 OCT 2017,1241,2017,0 days 02:05:13,7513,KEN,ke,:ke:,Kenya,F
7,2:05:15,,Sammy KITWARA,26 NOV 1986,KEN,1,,Valencia (ESP),19 NOV 2017,1240,2017,0 days 02:05:15,7515,KEN,ke,:ke:,Kenya,F
8,2:05:26,,Abraham KIPTUM,15 SEP 1989,KEN,3,,Amsterdam (NED),15 OCT 2017,1237,2017,0 days 02:05:26,7526,KEN,ke,:ke:,Kenya,F
9,2:05:30,,Evans CHEBET,10 NOV 1988,KEN,2,,Valencia (ESP),19 NOV 2017,1236,2017,0 days 02:05:30,7530,KEN,ke,:ke:,Kenya,F
10,2:05:39,,Mule WASIHUN,20 OCT 1993,ETH,4,,Amsterdam (NED),15 OCT 2017,1233,2017,0 days 02:05:39,7539,ETH,et,:et:,Ethiopia,F
11,2:05:43,,Amos KIPRUTO,16 SEP 1992,KEN,5,,Amsterdam (NED),15 OCT 2017,1232,2017,0 days 02:05:43,7543,KEN,ke,:ke:,Kenya,F
12,2:05:48,,Daniel KINYUA,25 MAY 1992,KEN,1,,London (GBR),23 APR 2017,1231,2017,0 days 02:05:48,7548,KEN,ke,:ke:,Kenya,F
12,2:05:48,,Sondre Nordstad MOEN,12 JAN 1991,NOR,1,,Fukuoka (JPN),03 DEC 2017,1231,2017,0 days 02:05:48,7548,NOR,no,:no:,Norway,F
14,2:05:50,,Shura KITATA,09 JUN 1996,ETH,1,,Frankfurt (GER),29 OCT 2017,1230,2017,0 days 02:05:50,7550,ETH,et,:et:,Ethiopia,F
15,2:05:51,,Gideon Kipkemoi KIPKETER,10 NOV 1992,KEN,2,,Tokyo (JPN),26 FEB 2017,1230,2017,0 days 02:05:51,7551,KEN,ke,:ke:,Kenya,F
16,2:05:57,,Kenenisa BEKELE,13 JUN 1982,ETH,2,,London (GBR),23 APR 2017,1228,2017,0 days 02:05:57,7557,ETH,et,:et:,Ethiopia,F
17,2:06:03,,Felix Kipchirchir KANDIE,10 APR 1987,KEN,2,,Seoul (KOR),19 MAR 2017,1227,2017,0 days 02:06:03,7563,KEN,ke,:ke:,Kenya,F
18,2:06:04,,Marius KIMUTAI,10 DEC 1992,BRN,1,,Rotterdam (NED),09 APR 2017,1226,2017,0 days 02:06:04,7564,BRN,bn,:bn:,Brunei Darussalam,F
19,2:06:05,,Mark KORIR,06 AUG 1988,KEN,3,,Seoul (KOR),19 MAR 2017,1226,2017,0 days 02:06:05,7565,KEN,ke,:ke:,Kenya,F
20,2:06:10,,Paul LONYANGATA,12 DEC 1992,KEN,1,,Paris (FRA),09 APR 2017,1225,2017,0 days 02:06:10,7570,KEN,ke,:ke:,Kenya,F
21,2:06:12,,Mosinet GEREMEW,12 FEB 1992,ETH,3,,Berlin (GER),24 SEP 2017,1224,2017,0 days 02:06:12,7572,ETH,et,:et:,Ethiopia,F
22,2:06:13,,Festus TALAM,20 OCT 1994,KEN,1,,Eindhoven (NED),08 OCT 2017,1224,2017,0 days 02:06:13,7573,KEN,ke,:ke:,Kenya,F
22,2:06:13,,Felix KIRWA,08 OCT 1995,KEN,2,,Eindhoven (NED),08 OCT 2017,1224,2017,0 days 02:06:13,7573,KEN,ke,:ke:,Kenya,F
24,2:06:14,,Vincent KIPRUTO,13 SEP 1987,KEN,5,,Berlin (GER),24 SEP 2017,1224,2017,0 days 02:06:14,7574,KEN,ke,:ke:,Kenya,F
25,2:06:25,,Dickson CHUMBA,27 OCT 1986,KEN,3,,Tokyo (JPN),26 FEB 2017,1220,2017,0 days 02:06:25,7585,KEN,ke,:ke:,Kenya,F
25,2:06:25,,Laban Kipngetich KORIR,30 JUN 1985,KEN,3,,Rotterdam (NED),09 APR 2017,1220,2017,0 days 02:06:25,7585,KEN,ke,:ke:,Kenya,F
27,2:06:27,,Wilson Loyanae ERUPE,20 NOV 1988,KEN,5,,Seoul (KOR),19 MAR 2017,1220,2017,0 days 02:06:27,7587,KEN,ke,:ke:,Kenya,F
28,2:06:38,,Deribe ROBI,26 SEP 1990,ETH,3,,Valencia (ESP),19 NOV 2017,1217,2017,0 days 02:06:38,7598,ETH,et,:et:,Ethiopia,F
29,2:06:43,,Marius KIPSEREM,17 MAY 1988,KEN,3,,Eindhoven (NED),08 OCT 2017,1215,2017,0 days 02:06:43,7603,KEN,ke,:ke:,Kenya,F
30,2:06:44,,Abera KUMA,31 AUG 1990,ETH,4,,Valencia (ESP),19 NOV 2017,1215,2017,0 days 02:06:44,7604,ETH,et,:et:,Ethiopia,F
31,2:06:52,,Philemon RONO,08 FEB 1991,KEN,1,,Toronto (CAN),22 OCT 2017,1213,2017,0 days 02:06:52,7612,KEN,ke,:ke:,Kenya,F
32,2:06:54,,Filex Kipchirchir KIPROTICH,07 DEC 1988,KEN,1,,Gongju (KOR),15 OCT 2017,1212,2017,0 days 02:06:54,7614,KEN,ke,:ke:,Kenya,F
33,2:06:56,,Kelkile GEZAHEGN,01 OCT 1996,ETH,2,,Frankfurt (GER),29 OCT 2017,1212,2017,0 days 02:06:56,7616,ETH,et,:et:,Ethiopia,F
34,2:06:57,,Stephen CHEBOGUT,09 JAN 1985,KEN,2,,Paris (FRA),09 APR 2017,1211,2017,0 days 02:06:57,7617,KEN,ke,:ke:,Kenya,F
35,2:07:10,,Dejene DEBELA,09 JAN 1995,ETH,4,,Eindhoven (NED),08 OCT 2017,1208,2017,0 days 02:07:10,7630,ETH,et,:et:,Ethiopia,F
35,2:07:10,,Stephen KIPROTICH,27 FEB 1989,UGA,2,,Fukuoka (JPN),03 DEC 2017,1208,2017,0 days 02:07:10,7630,UGA,ug,:ug:,Uganda,F
37,2:07:12,,Solomon Kirwa YEGO,10 MAY 1987,KEN,3,,Paris (FRA),09 APR 2017,1207,2017,0 days 02:07:12,7632,KEN,ke,:ke:,Kenya,F
38,2:07:13,,Edwin KOECH,25 MAR 1992,KEN,1,,Milano (ITA),02 APR 2017,1207,2017,0 days 02:07:13,7633,KEN,ke,:ke:,Kenya,F
39,2:07:19,,Lucas Kimeli ROTICH,16 APR 1990,KEN,5,,Rotterdam (NED),09 APR 2017,1205,2017,0 days 02:07:19,7639,KEN,ke,:ke:,Kenya,F
39,2:07:19,,Suguru OSAKO,23 MAY 1991,JPN,3,,Fukuoka (JPN),03 DEC 2017,1205,2017,0 days 02:07:19,7639,JPN,jp,:jp:,Japan,F
41,2:07:21,,Yitayal Atnafu ZERIHUN,20 JAN 1993,ETH,4,,Paris (FRA),09 APR 2017,1205,2017,0 days 02:07:21,7641,ETH,et,:et:,Ethiopia,F
41,2:07:21,,Benson KIPRUTO,17 MAR 1991,KEN,2,,Gongju (KOR),15 OCT 2017,1205,2017,0 days 02:07:21,7641,KEN,ke,:ke:,Kenya,F
43,2:07:25,,Eliud KIPTANUI,06 JUN 1989,KEN,5,,Valencia (ESP),19 NOV 2017,1203,2017,0 days 02:07:25,7645,KEN,ke,:ke:,Kenya,F
44,2:07:26,,Tsegaye MEKONNEN,15 JUN 1995,ETH,1,,Hamburg (GER),23 APR 2017,1203,2017,0 days 02:07:26,7646,ETH,et,:et:,Ethiopia,F
45,2:07:32,,Mathew Kipkoech KISORIO,16 MAY 1989,KEN,1,,Daegu (KOR),02 APR 2017,1201,2017,0 days 02:07:32,7652,KEN,ke,:ke:,Kenya,F
46,2:07:33,,Jacob Kibet Chulyo KENDAGOR,24 AUG 1984,KEN,6,,Seoul (KOR),19 MAR 2017,1201,2017,0 days 02:07:33,7653,KEN,ke,:ke:,Kenya,F
47,2:07:34,,Samuel Tsegay TESFAMARIAM,24 FEB 1988,ERI,6,,Valencia (ESP),19 NOV 2017,1201,2017,0 days 02:07:34,7654,ERI,er,:er:,Eritrea,F
48,2:07:39,,Alfers LAGAT,07 AUG 1986,KEN,5,,Tokyo (JPN),26 FEB 2017,1200,2017,0 days 02:07:39,7659,KEN,ke,:ke:,Kenya,F
