Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
71,2:24:21,,Marta MEGRA,30 DEC 1990,ETH,1,,Hengshui (CHN),29 SEP 2019,1189
72,2:24:28,,Gutemi Shone IMANA,17 NOV 1991,ETH,1,,Sevilla (ESP),17 FEB 2019,1188
72,2:24:28,,Shuko GENEMO,13 SEP 1995,ETH,7,,Toronto (CAN),20 OCT 2019,1188
72,2:24:28,,Yeshi Kalayu CHEKOLE,12 JUL 1997,ETH,3,,Abu Dhabi (UAE),06 DEC 2019,1188
75,2:24:30,,Aberu Mekuria ZENNEBE,24 DEC 1983,ETH,1,,Chongqing (CHN),31 MAR 2019,1187
76,2:24:33,,Mao ICHIYAMA,29 MAY 1997,JPN,7,,Tokyo (JPN),03 MAR 2019,1187
77,2:24:34,,Genet YALEW,31 DEC 1992,ETH,3,,Praha (CZE),05 MAY 2019,1187
78,2:24:41,,Dibabe KUMA,14 SEP 1996,ETH,1,,Hamburg (GER),28 APR 2019,1186
79,2:24:42,,Worknesh ALEMU,19 MAR 1990,ETH,6,,Amsterdam (NED),20 OCT 2019,1185
79,2:24:42,,Caroline ROTICH,13 MAY 1984,KEN,5,,Frankfurt (GER),27 OCT 2019,1185
81,2:24:47,,Salomé ROCHA,25 APR 1990,POR,8,,London (GBR),28 APR 2019,1185
82,2:24:48,,Celestine CHEPCHIRCHIR,18 DEC 1995,KEN,3,,Seoul (KOR),17 MAR 2019,1184
83,2:24:53,,Abeba-Tekulu GEBREMESKEL,1989,ETH,2,,Sevilla (ESP),17 FEB 2019,1184
84,2:24:55,,Zinash MEKONNEN,11 SEP 1996,ETH,10,,Valencia (ESP),01 DEC 2019,1183
85,2:25:03,,Askale MERACHI,04 JAN 1987,ETH,6,,Frankfurt (GER),27 OCT 2019,1182
86,2:25:10,,Sally KIPYEGO,19 DEC 1985,USA,7,,Berlin (GER),29 SEP 2019,1181
87,2:25:11,,Sharon Jemutai CHEROP,16 MAR 1984,KEN,5,,Ljubljana (SLO),27 OCT 2019,1181
88,2:25:15,,Honami MAEDA,17 JUL 1996,JPN,1,,Tokyo (JPN),15 SEP 2019,1180
89,2:25:18,,Angela TANUI,27 JUL 1992,KEN,4,,Istanbul (TUR),03 NOV 2019,1179
90,2:25:20,,Josephine CHEPKOECH,21 APR 1989,KEN,2,,Barcelona (ESP),10 MAR 2019,1179
90,2:25:20,,Agnes Jeruto BARSOSIO,05 AUG 1982,KEN,1,,Hangzhou (CHN),03 NOV 2019,1179
92,2:25:25,,Sairi MAEDA,07 NOV 1991,JPN,10,,Nagoya (JPN),10 MAR 2019,1178
93,2:25:26,,Sentayehu LEWETEGN,09 MAY 1996,ETH,6,,Ljubljana (SLO),27 OCT 2019,1178
94,2:25:27,,Emma BATES,08 JUL 1992,USA,4,,"Chicago, IL (USA)",13 OCT 2019,1178
95,2:25:28,,Mizuki TANIMOTO,18 DEC 1994,JPN,11,,Nagoya (JPN),10 MAR 2019,1178
96,2:25:29,,Sifan MELAKU,05 FEB 2000,ETH,5,,Istanbul (TUR),03 NOV 2019,1178
96,2:25:29,,Jess PIASECKI,18 APR 1990,GBR,1,,Firenze (ITA),24 NOV 2019,1178
98,2:25:38,,Charlotte PURDUE,10 JUN 1991,GBR,10,,London (GBR),28 APR 2019,1176
99,2:25:39,,Fatuma SADO,11 OCT 1991,ETH,1,,Osaka (JPN),27 JAN 2019,1176
100,2:25:46,,Rei OHARA,10 AUG 1990,JPN,2,,Osaka (JPN),27 JAN 2019,1175
1,2:18:11,,Gladys CHERONO,12 MAY 1983,KEN,1,,Berlin (GER),16 SEP 2018,1252
2,2:18:31,,Vivian Jepkemei CHERUIYOT,11 SEP 1983,KEN,1,,London (GBR),22 APR 2018,1249
3,2:18:34,,Ruti AGA,16 JAN 1994,ETH,2,,Berlin (GER),16 SEP 2018,1248
4,2:18:35,,Brigid KOSGEI,20 FEB 1994,KEN,1,,"Chicago, IL (USA)",07 OCT 2018,1248
4,2:18:35,,Ruth CHEPNGETICH,08 AUG 1994,KEN,1,,Istanbul (TUR),11 NOV 2018,1248
6,2:18:55,,Tirunesh DIBABA,01 OCT 1985,ETH,3,,Berlin (GER),16 SEP 2018,1244
7,2:19:17,,Roza DEREJE,09 MAY 1997,ETH,1,,Dubai (UAE),26 JAN 2018,1241
8,2:19:30,,Boru Feyse TADESE,19 NOV 1988,ETH,2,,Dubai (UAE),26 JAN 2018,1238
9,2:19:36,,Yebrgual MELESE,18 APR 1990,ETH,3,,Dubai (UAE),26 JAN 2018,1237
10,2:19:51,,Birhane DIBABA,11 SEP 1993,ETH,1,,Tokyo (JPN),25 FEB 2018,1235
11,2:19:53,,Worknesh DEGEFA,28 OCT 1990,ETH,4,,Dubai (UAE),26 JAN 2018,1234
12,2:20:13,,Haftamnesh TESFAYE,28 APR 1994,ETH,5,,Dubai (UAE),26 JAN 2018,1231
13,2:20:36,,Meskerem ASSEFA,03 OCT 1991,ETH,1,,Frankfurt (GER),28 OCT 2018,1227
14,2:20:45,,Gelete BURKA,23 JAN 1986,ETH,6,,Dubai (UAE),26 JAN 2018,1226
15,2:21:14,,Ashete BEKERE,17 APR 1988,ETH,1,,Valencia (ESP),02 DEC 2018,1221
16,2:21:18,,Edna Ngeringwony KIPLAGAT,15 NOV 1979,KEN,4,,Berlin (GER),16 SEP 2018,1220
17,2:21:32,,Bedatu HIRPA,28 APR 1999,ETH,3,,Frankfurt (GER),28 OCT 2018,1218
18,2:21:38,,Valary JEMELI,08 JUN 1991,KEN,1,,Beijing (CHN),16 SEP 2018,1217
19,2:21:40,,Tadelech BEKELE,11 APR 1991,ETH,3,,London (GBR),22 APR 2018,1216
20,2:21:42,,Amy CRAGG,21 JAN 1984,USA,3,,Tokyo (JPN),25 FEB 2018,1216
21,2:21:45,,Dera DIDA,26 OCT 1996,ETH,7,,Dubai (UAE),26 JAN 2018,1215
22,2:21:51,,Azmera ABREHA,31 JAN 1998,ETH,2,,Shanghai (CHN),18 NOV 2018,1214
23,2:21:53,,Belaynesh OLJIRA,26 JUN 1990,ETH,4,,Frankfurt (GER),28 OCT 2018,1214
24,2:22:07,,Shure DEMISE,21 JAN 1996,ETH,4,,Tokyo (JPN),25 FEB 2018,1212
25,2:22:11,,Lydia CHEROMEI,11 MAY 1977,KEN,2,,Valencia (ESP),02 DEC 2018,1211
26,2:22:23,,Mizuki MATSUDA,31 MAY 1995,JPN,5,,Berlin (GER),16 SEP 2018,1209
27,2:22:29,,Mimi BELETE,09 JUN 1988,BRN,1,,Toronto (CAN),21 OCT 2018,1208
28,2:22:35,,Marta MEGRA,30 DEC 1990,ETH,2,,Toronto (CAN),21 OCT 2018,1207
29,2:22:45,,Sentayehu LEWETEGN,09 MAY 1996,ETH,6,,Frankfurt (GER),28 OCT 2018,1205
30,2:22:46,,Nancy Jepkosgei KIPROP,07 JUL 1979,KEN,7,,Frankfurt (GER),28 OCT 2018,1205
31,2:22:48,,Helen BEKELE,21 NOV 1994,ETH,6,,Berlin (GER),16 SEP 2018,1205
31,2:22:48,,Mary Jepkosgei KEITANY,18 JAN 1982,KEN,1,,"New York, NY (USA)",04 NOV 2018,1205
33,2:22:56,,Betsy SAINA,30 JUN 1988,KEN,1,,Paris (FRA),08 APR 2018,1203
34,2:22:58,,Visiline JEPKESHO,30 DEC 1989,KEN,1,,Ljubljana (SLO),28 OCT 2018,1203
35,2:23:06,,Gulume CHALA,11 SEP 1992,ETH,3,,Paris (FRA),08 APR 2018,1202
36,2:23:07,,Hanami SEKINE,26 FEB 1996,JPN,3,,Nagoya (JPN),11 MAR 2018,1201
37,2:23:15,,Selly Chepyego KAPTICH,03 OCT 1985,KEN,2,,Ljubljana (SLO),28 OCT 2018,1200
38,2:23:28,,Shasho INSERMU,16 SEP 1993,ETH,2,,Amsterdam (NED),21 OCT 2018,1198
39,2:23:29,,Ruth CHEBITOK,26 DEC 1990,KEN,3,,Toronto (CAN),21 OCT 2018,1198
40,2:23:31,,Azmera GEBRU,31 OCT 1995,ETH,3,,Amsterdam (NED),21 OCT 2018,1197
41,2:23:34,,Dibabe KUMA,14 SEP 1996,ETH,3,,Ljubljana (SLO),28 OCT 2018,1197
42,2:23:37,,Tinbit GIDEY,17 SEP 1989,ETH,3,,Valencia (ESP),02 DEC 2018,1196
43,2:23:39,,Desi Jisa MOKONIN,12 JUL 1997,BRN,4,,Amsterdam (NED),21 OCT 2018,1196
44,2:23:40,,Betty Wilson LEMPUS,09 JUL 1991,KEN,3,,Shanghai (CHN),18 NOV 2018,1196
45,2:23:43,,Stellah Jepngetich BARSOSIO,12 MAR 1993,KEN,5,,Paris (FRA),08 APR 2018,1195
46,2:23:46,,Rahma TUSA,14 SEP 1993,ETH,1,,Roma (ITA),08 APR 2018,1195
46,2:23:46,,Linet Chepkwemoi MASAI,05 DEC 1989,KEN,5,,Amsterdam (NED),21 OCT 2018,1195
48,2:23:48,,Honami MAEDA,17 JUL 1996,JPN,2,,Osaka (JPN),28 JAN 2018,1195
49,2:23:54,,Afera GODFAY,25 SEP 1991,ETH,4,,Shanghai (CHN),18 NOV 2018,1194
50,2:24:08,,Hirut TIBEBU,13 DEC 1994,ETH,1,,Seoul (KOR),18 MAR 2018,1191
51,2:24:11,,Senbere TEFERI,03 MAY 1995,ETH,9,,Dubai (UAE),26 JAN 2018,1191
52,2:24:17,,Lonah Chemtai SALPETER,12 DEC 1988,ISR,1,,Firenze (ITA),25 NOV 2018,1190
53,2:24:19,,Bornes CHEPKIRUI,23 NOV 1986,KEN,1,,Praha (CZE),06 MAY 2018,1189
54,2:24:29,,Kellyn TAYLOR,22 JUL 1986,USA,1,,"Duluth, MN (USA)",16 JUN 2018,1188
55,2:24:30,,Margaret AGAI,10 JUN 1988,KEN,2,,Seoul (KOR),18 MAR 2018,1187
56,2:24:31,,Monica JEPKOECH,01 JAN 1983,KEN,3,,Seoul (KOR),18 MAR 2018,1187
57,2:24:35,,Aberu Mekuria ZENNEBE,24 DEC 1983,ETH,4,,Valencia (ESP),02 DEC 2018,1187
58,2:24:38,,Jackline CHEPNGENO,16 JAN 1993,KEN,6,,Amsterdam (NED),21 OCT 2018,1186
59,2:24:47,,Letebrhan Haylay GEBRESLASEA,29 OCT 1990,ETH,1,,Dongying (CHN),05 MAY 2018,1185
60,2:24:51,,Bruktayit ESHETU,29 SEP 1990,ETH,1,,"Houston, TX (USA)",14 JAN 2018,1184
60,2:24:51,,Shitaye ESHETE,21 MAY 1990,BRN,1,,Hamburg (GER),29 APR 2018,1184
62,2:25:01,,Mulu SEBOKA,25 SEP 1984,ETH,4,,Seoul (KOR),18 MAR 2018,1182
63,2:25:02,,Abebech AFEWORK,11 DEC 1990,ETH,7,,Paris (FRA),08 APR 2018,1182
63,2:25:02,,Sharon Jemutai CHEROP,16 MAR 1984,KEN,4,,Ljubljana (SLO),28 OCT 2018,1182
65,2:25:19,,Sinead DIVER,17 FEB 1977,AUS,1,,Melbourne (AUS),14 OCT 2018,1179
66,2:25:24,,Mare DIBABA,20 OCT 1989,ETH,11,,Frankfurt (GER),28 OCT 2018,1178
66,2:25:24,,Dulce FÉLIX,23 OCT 1982,POR,5,,Valencia (ESP),02 DEC 2018,1178
68,2:25:25,,Volha MAZURONAK,14 APR 1989,BLR,1,,Düsseldorf (GER),29 APR 2018,1178
69,2:25:27,,Salomé ROCHA,25 APR 1990,POR,8,,Berlin (GER),16 SEP 2018,1178
70,2:25:28,,Birke DEBELE,12 SEP 1995,ETH,2,,Hamburg (GER),29 APR 2018,1178
71,2:25:35,,Kaoutar BOULAID,10 OCT 1989,MAR,1,,Sevilla (ESP),25 FEB 2018,1177
71,2:25:35,,Dalila ABDULKADIR,27 JUN 1998,BRN,1,,Saitama (JPN),09 DEC 2018,1177
73,2:25:41,,Doyeon KIM,02 SEP 1993,KOR,5,,Seoul (KOR),18 MAR 2018,1176
74,2:25:46,,Miyuki UEHARA,22 NOV 1995,JPN,9,,Berlin (GER),16 SEP 2018,1175
75,2:25:48,,Muluhabt TSEGA,22 DEC 1997,ETH,5,,Shanghai (CHN),18 NOV 2018,1174
76,2:25:49,,Amane GOBENA,11 SEP 1986,ETH,1,,Mumbai (IND),21 JAN 2018,1174
77,2:25:51,,Haimanot ALEMAYEHU,17 JUN 1990,ETH,2,,Sevilla (ESP),25 FEB 2018,1174
78,2:25:55,,Zinash MEKONNEN,11 SEP 1996,ETH,7,,Amsterdam (NED),21 OCT 2018,1173
79,2:25:57,,Waganesh MEKASHA,16 JAN 1992,ETH,1,,Hengshui (CHN),29 SEP 2018,1173
80,2:25:59,,Jessica TRENGOVE,15 AUG 1987,AUS,4,,Toronto (CAN),21 OCT 2018,1173
81,2:26:03,,Rose CHELIMO,12 JUL 1989,BRN,6,,London (GBR),22 APR 2018,1172
82,2:26:08,,Florence KIPLAGAT,27 FEB 1987,KEN,4,,"Chicago, IL (USA)",07 OCT 2018,1171
83,2:26:10,,Shuko GENEMO,13 SEP 1995,ETH,5,,Ljubljana (SLO),28 OCT 2018,1171
84,2:26:11,,Hiwot GEBREKIDAN,11 MAY 1995,ETH,2,,Ottawa (CAN),27 MAY 2018,1171
85,2:26:13,,Yuka TAKASHIMA,12 MAY 1988,JPN,8,,Paris (FRA),08 APR 2018,1170
86,2:26:20,,Sara HALL,15 APR 1983,USA,3,,Ottawa (CAN),27 MAY 2018,1169
87,2:26:22,,Shalane FLANAGAN,08 JUL 1981,USA,3,,"New York, NY (USA)",04 NOV 2018,1169
88,2:26:28,,Reia IWADE,08 DEC 1994,JPN,4,,Nagoya (JPN),11 MAR 2018,1168
88,2:26:28,,Clémence CALVIN,17 MAY 1990,FRA,2,,"Olympiastadion, Berlin (GER)",12 AUG 2018,1168
88,2:26:28,,Workenesh EDESA,11 SEP 1992,ETH,2,,Hengshui (CHN),29 SEP 2018,1168
91,2:26:31,,Eva VRABCOVÁ NYVLTOVÁ,06 FEB 1986,CZE,3,,"Olympiastadion, Berlin (GER)",12 AUG 2018,1167
92,2:26:33,,Keiko NOGAMI,06 DEC 1985,JPN,5,,Nagoya (JPN),11 MAR 2018,1167
93,2:26:41,,Fatuma SADO,11 OCT 1991,ETH,1,,Xiamen (CHN),07 JAN 2018,1166
94,2:26:44,,Molly HUDDLE,31 AUG 1984,USA,4,,"New York, NY (USA)",04 NOV 2018,1165
94,2:26:44,,Tigist GIRMA,12 JUL 1993,ETH,1,,Guangzhou (CHN),09 DEC 2018,1165
96,2:26:50,,Worknesh ALEMU,19 MAR 1990,ETH,12,,Frankfurt (GER),28 OCT 2018,1164
97,2:26:52,,Muliye DEKEBO,13 MAR 1998,ETH,10,,Dubai (UAE),26 JAN 2018,1164
98,2:26:54,,Gebeyanesh AYELE,01 MAY 1995,ETH,3,,Hengshui (CHN),29 SEP 2018,1163
99,2:26:56,,Eunice Chebichii CHUMBA,23 MAY 1993,BRN,2,,Beijing (CHN),16 SEP 2018,1163
100,2:26:58,,Celestine CHEPCHIRCHIR,18 DEC 1995,KEN,5,,Toronto (CAN),21 OCT 2018,1163
1,2:15:55,,Sutume Asefa KEBEDE,11 DEC 1994,ETH,1,,Tokyo (JPN),03 MAR 2024,1276
2,2:16:07,,Tigist KETEMA,15 SEP 1998,ETH,1,,Dubai (UAE),07 JAN 2024,1274
3,2:16:14,,Rosemary WANJIRU,09 DEC 1994,KEN,2,,Tokyo (JPN),03 MAR 2024,1272
4,2:16:16,,Peres JEPCHIRCHIR,27 SEP 1993,KEN,1,,London (GBR),21 APR 2024,1272
5,2:16:23,,Tigst ASSEFA,03 DEC 1996,ETH,2,,London (GBR),21 APR 2024,1271
6,2:16:24,,Joyciline JEPKOSGEI,08 DEC 1993,KEN,3,,London (GBR),21 APR 2024,1271
7,2:16:34,,Megertu ALEMU,12 OCT 1997,ETH,4,,London (GBR),21 APR 2024,1269
8,2:16:58,,Amane Beriso SHANKULE,13 OCT 1991,ETH,3,,Tokyo (JPN),03 MAR 2024,1265
9,2:18:05,,Sifan HASSAN,01 JAN 1993,NED,4,,Tokyo (JPN),03 MAR 2024,1253
10,2:18:09,,Ruti AGA,16 JAN 1994,ETH,2,,Dubai (UAE),07 JAN 2024,1252
11,2:18:22,,Irine Chepet CHEPTAI,04 FEB 1992,KEN,1,,Hamburg (GER),28 APR 2024,1250
12,2:18:25,,Winfridah MOSETI,12 NOV 1996,KEN,2,,Hamburg (GER),28 APR 2024,1250
13,2:18:51,,Workenesh EDESA,11 SEP 1992,ETH,1,,Osaka (JPN),28 JAN 2024,1245
14,2:18:59,,Honami MAEDA,17 JUL 1996,JPN,2,,Osaka (JPN),28 JAN 2024,1244
15,2:19:02,,Brigid KOSGEI,20 FEB 1994,KEN,5,,London (GBR),21 APR 2024,1243
16,2:19:17,,Betsy SAINA,30 JUN 1988,USA,5,,Tokyo (JPN),03 MAR 2024,1241
17,2:19:29,,Dera DIDA,26 OCT 1996,ETH,3,,Dubai (UAE),07 JAN 2024,1239
18,2:19:30,,Ashete BEKERE,17 APR 1988,ETH,1,,Rotterdam (NED),14 APR 2024,1238
19,2:19:31,,Sheila CHEPKIRUI,27 DEC 1990,KEN,6,,London (GBR),21 APR 2024,1238
20,2:19:33,,Rahma TUSA,14 SEP 1993,ETH,1,,"Houston, TX (USA)",14 JAN 2024,1238
21,2:19:52,,Degitu AZIMERAW,24 JAN 1999,ETH,1,,Barcelona (ESP),10 MAR 2024,1235
22,2:19:55,,Vicoty CHEPNGENO,12 NOV 1993,KEN,2,,"Houston, TX (USA)",14 JAN 2024,1234
23,2:20:45,,Mestawut FIKIR,02 MAR 2000,ETH,1,,Paris (FRA),07 APR 2024,1226
24,2:20:48,,Enatnesh Alamrew TIRUSEW,1995,ETH,2,,Paris (FRA),07 APR 2024,1225
25,2:20:57,,Viola Jelagat KIBIWOT,22 DEC 1983,KEN,2,,Rotterdam (NED),14 APR 2024,1224
26,2:21:18,,Yuka ANDO,16 MAR 1994,JPN,1,,Nagoya (JPN),10 MAR 2024,1220
27,2:21:19,,Gotytom GEBRESLASE,15 JAN 1995,ETH,3,,Hamburg (GER),28 APR 2024,1220
28,2:21:25,,Eunice Chebichii CHUMBA,23 MAY 1993,BRN,2,,Nagoya (JPN),10 MAR 2024,1219
29,2:21:27,,Jackline SAKILU,28 DEC 1986,TAN,1,,Chongqing (CHN),24 MAR 2024,1218
30,2:21:32,,Fikrte WERETA,21 SEP 2000,ETH,1,,Seoul (KOR),17 MAR 2024,1218
30,2:21:32,,Angela TANUI,27 JUL 1992,KEN,2,,Daegu (KOR),07 APR 2024,1218
32,2:21:33,,Ayuko SUZUKI,08 OCT 1991,JPN,3,,Nagoya (JPN),10 MAR 2024,1217
33,2:21:35,,Shuko GENEMO,13 SEP 1995,ETH,2,,Barcelona (ESP),10 MAR 2024,1217
34,2:21:40,,Jackline CHERONO,25 JUN 1998,KEN,4,,Hamburg (GER),28 APR 2024,1216
35,2:21:46,,Vivian Jepkemei CHERUIYOT,11 SEP 1983,KEN,3,,Paris (FRA),07 APR 2024,1215
36,2:21:47,,Melat Yisak KEJETA,27 SEP 1992,GER,4,,Dubai (UAE),07 JAN 2024,1215
37,2:21:50,,Hitomi NIIYA,26 FEB 1988,JPN,6,,Tokyo (JPN),03 MAR 2024,1215
38,2:21:53,,Amid Fozya JEMAL,11 SEP 1998,ETH,5,,Dubai (UAE),07 JAN 2024,1214
39,2:21:55,,Shitaye ESHETE,21 MAY 1990,BRN,6,,Dubai (UAE),07 JAN 2024,1214
40,2:22:10,,Fiona O'KEEFFE,24 MAY 1998,USA,1,,"Orlando, FL (USA)",03 FEB 2024,1211
