Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score,Year,Time,Time_in_seconds,Nat_Corrected,Two_Letter_ISO,Flag_Datawrapper,Country_Name,Gender
23,2:21:01,,Helen BEKELE,21 NOV 1994,ETH,2,,Tokyo (JPN),03 MAR 2019,1223,2019,0 days 02:21:01,8461,ETH,et,:et:,Ethiopia,F
24,2:21:03,,Besu SADO,12 JAN 1996,ETH,4,,Amsterdam (NED),20 OCT 2019,1223,2019,0 days 02:21:03,8463,ETH,et,:et:,Ethiopia,F
25,2:21:05,,Shure DEMISE,21 JAN 1996,ETH,3,,Tokyo (JPN),03 MAR 2019,1222,2019,0 days 02:21:05,8465,ETH,et,:et:,Ethiopia,F
26,2:21:06,,Selly Chepyego KAPTICH,03 OCT 1985,KEN,3,,Berlin (GER),29 SEP 2019,1222,2019,0 days 02:21:06,8466,KEN,ke,:ke:,Kenya,F
27,2:21:10,,Megertu ALEMU,12 OCT 1997,ETH,2,,Frankfurt (GER),27 OCT 2019,1221,2019,0 days 02:21:10,8470,ETH,et,:et:,Ethiopia,F
28,2:21:11,,Vivian KIPLAGAT,09 NOV 1991,KEN,1,,Abu Dhabi (UAE),06 DEC 2019,1221,2019,0 days 02:21:11,8471,KEN,ke,:ke:,Kenya,F
29,2:21:22,,Mimi BELETE,09 JUN 1988,BRN,5,,Amsterdam (NED),20 OCT 2019,1219,2019,0 days 02:21:22,8482,BRN,bn,:bn:,Brunei Darussalam,F
30,2:21:26,,Bornes CHEPKIRUI,23 NOV 1986,KEN,1,,Ljubljana (SLO),27 OCT 2019,1219,2019,0 days 02:21:26,8486,KEN,ke,:ke:,Kenya,F
31,2:21:33,,Shitaye ESHETE,21 MAY 1990,BRN,2,,Ljubljana (SLO),27 OCT 2019,1217,2019,0 days 02:21:33,8493,BRN,bn,:bn:,Brunei Darussalam,F
32,2:21:50,,Florence KIPLAGAT,27 FEB 1987,KEN,4,,Tokyo (JPN),03 MAR 2019,1215,2019,0 days 02:21:50,8510,KEN,ke,:ke:,Kenya,F
33,2:22:07,,Diana Chemtai KIPYOKEI,05 MAY 1994,KEN,3,,Ljubljana (SLO),27 OCT 2019,1212,2019,0 days 02:22:07,8527,KEN,ke,:ke:,Kenya,F
34,2:22:11,,Meskerem ASSEFA,03 OCT 1991,ETH,3,,Frankfurt (GER),27 OCT 2019,1211,2019,0 days 02:22:11,8531,ETH,et,:et:,Ethiopia,F
35,2:22:12,,Nancy Jepkosgei KIPROP,07 JUL 1979,KEN,1,,Wien (AUT),07 APR 2019,1211,2019,0 days 02:22:12,8532,KEN,ke,:ke:,Kenya,F
36,2:22:16,,Sara HALL,15 APR 1983,USA,5,,Berlin (GER),29 SEP 2019,1210,2019,0 days 02:22:16,8536,USA,us,:us:,United States,F
36,2:22:16,,Magdalyne MASAI,21 NOV 1993,KEN,1,,Toronto (CAN),20 OCT 2019,1210,2019,0 days 02:22:16,8536,KEN,ke,:ke:,Kenya,F
38,2:22:25,,Helalia JOHANNES,13 AUG 1980,NAM,1,,Nagoya (JPN),10 MAR 2019,1209,2019,0 days 02:22:25,8545,NAM,na,:na:,Namibia,F
39,2:22:38,,Joyciline JEPKOSGEI,08 DEC 1993,KEN,1,,"New York, NY (USA)",03 NOV 2019,1206,2019,0 days 02:22:38,8558,KEN,ke,:ke:,Kenya,F
40,2:22:40,,Bruktayit ESHETU,29 SEP 1990,ETH,2,,Toronto (CAN),20 OCT 2019,1206,2019,0 days 02:22:40,8560,ETH,et,:et:,Ethiopia,F
41,2:22:41,,Afera GODFAY,25 SEP 1991,ETH,1,,Dongying (CHN),20 APR 2019,1206,2019,0 days 02:22:41,8561,ETH,et,:et:,Ethiopia,F
42,2:22:43,,Betsy SAINA,30 JUN 1988,KEN,3,,Toronto (CAN),20 OCT 2019,1206,2019,0 days 02:22:43,8563,KEN,ke,:ke:,Kenya,F
43,2:22:45,,Waganesh MEKASHA,16 JAN 1992,ETH,4,,Dubai (UAE),25 JAN 2019,1205,2019,0 days 02:22:45,8565,ETH,et,:et:,Ethiopia,F
44,2:22:53,,Tadelech BEKELE,11 APR 1991,ETH,8,,Valencia (ESP),01 DEC 2019,1204,2019,0 days 02:22:53,8573,ETH,et,:et:,Ethiopia,F
45,2:22:58,,Visiline JEPKESHO,30 DEC 1989,KEN,2,,Nagoya (JPN),10 MAR 2019,1203,2019,0 days 02:22:58,8578,KEN,ke,:ke:,Kenya,F
46,2:23:08,,Emily SISSON,12 OCT 1991,USA,6,,London (GBR),28 APR 2019,1201,2019,0 days 02:23:08,8588,USA,us,:us:,United States,F
47,2:23:14,,Kuftu TAHIR,13 OCT 1995,ETH,4,,Ljubljana (SLO),27 OCT 2019,1200,2019,0 days 02:23:14,8594,ETH,et,:et:,Ethiopia,F
48,2:23:19,,Birke DEBELE,12 SEP 1995,ETH,4,,Toronto (CAN),20 OCT 2019,1199,2019,0 days 02:23:19,8599,ETH,et,:et:,Ethiopia,F
48,2:23:19,,Yebrgual MELESE,18 APR 1990,ETH,1,,Shanghai (CHN),17 NOV 2019,1199,2019,0 days 02:23:19,8599,ETH,et,:et:,Ethiopia,F
50,2:23:30,,Racheal MUTGAA,12 DEC 1988,KEN,5,,Toronto (CAN),20 OCT 2019,1198,2019,0 days 02:23:30,8610,KEN,ke,:ke:,Kenya,F
51,2:23:31,,Sutume Asefa KEBEDE,11 DEC 1994,ETH,1,,Beijing (CHN),03 NOV 2019,1197,2019,0 days 02:23:31,8611,ETH,et,:et:,Ethiopia,F
52,2:23:33,,Meseret DEFAR,19 NOV 1983,ETH,4,,Nagoya (JPN),10 MAR 2019,1197,2019,0 days 02:23:33,8613,ETH,et,:et:,Ethiopia,F
53,2:23:36,,Stellah Jepngetich BARSOSIO,12 MAR 1993,KEN,2,,Rotterdam (NED),07 APR 2019,1197,2019,0 days 02:23:36,8616,KEN,ke,:ke:,Kenya,F
54,2:23:40,,Hirut TIBEBU,13 DEC 1994,ETH,1,,Istanbul (TUR),03 NOV 2019,1196,2019,0 days 02:23:40,8620,ETH,et,:et:,Ethiopia,F
55,2:23:43,,Bedatu HIRPA,28 APR 1999,ETH,5,,Tokyo (JPN),03 MAR 2019,1195,2019,0 days 02:23:43,8623,ETH,et,:et:,Ethiopia,F
56,2:23:44,,Desi Jisa MOKONIN,12 JUL 1997,BRN,1,,Seoul (KOR),17 MAR 2019,1195,2019,0 days 02:23:44,8624,BRN,bn,:bn:,Brunei Darussalam,F
57,2:23:50,,Hiwot GEBREKIDAN,11 MAY 1995,ETH,1,,Guangzhou (CHN),08 DEC 2019,1194,2019,0 days 02:23:50,8630,ETH,et,:et:,Ethiopia,F
57,2:23:50,,Peres JEPCHIRCHIR,27 SEP 1993,KEN,1,,Saitama (JPN),08 DEC 2019,1194,2019,0 days 02:23:50,8630,KEN,ke,:ke:,Kenya,F
59,2:23:52,,Reia IWADE,08 DEC 1994,JPN,5,,Nagoya (JPN),10 MAR 2019,1194,2019,0 days 02:23:52,8632,JPN,jp,:jp:,Japan,F
60,2:23:57,,Melat Yisak KEJETA,27 SEP 1992,GER,6,,Berlin (GER),29 SEP 2019,1193,2019,0 days 02:23:57,8637,DEU,de,:de:,,F
61,2:23:59,,Monica JEPKOECH,01 JAN 1983,KEN,6,,Nagoya (JPN),10 MAR 2019,1193,2019,0 days 02:23:59,8639,KEN,ke,:ke:,Kenya,F
62,2:24:00,,Sara DOSSENA,22 NOV 1984,ITA,7,,Nagoya (JPN),10 MAR 2019,1193,2019,0 days 02:24:00,8640,ITA,it,:it:,Italy,F
63,2:24:03,,Wude AYALEW,04 JUL 1987,ETH,2,,Abu Dhabi (UAE),06 DEC 2019,1192,2019,0 days 02:24:03,8643,ETH,et,:et:,Ethiopia,F
64,2:24:09,,Kayoko FUKUSHI,25 MAR 1982,JPN,8,,Nagoya (JPN),10 MAR 2019,1191,2019,0 days 02:24:09,8649,JPN,jp,:jp:,Japan,F
65,2:24:11,,Sinead DIVER,17 FEB 1977,AUS,7,,London (GBR),28 APR 2019,1191,2019,0 days 02:24:11,8651,AUS,au,:au:,Australia,F
66,2:24:13,,Ruth CHEBITOK,26 DEC 1990,KEN,6,,Toronto (CAN),20 OCT 2019,1190,2019,0 days 02:24:13,8653,KEN,ke,:ke:,Kenya,F
67,2:24:15,,Tigist ABAYECHEW,22 FEB 1994,ETH,2,,Istanbul (TUR),03 NOV 2019,1190,2019,0 days 02:24:15,8655,ETH,et,:et:,Ethiopia,F
68,2:24:16,,Maurine CHEPKEMOI,24 MAY 1998,KEN,3,,Istanbul (TUR),03 NOV 2019,1190,2019,0 days 02:24:16,8656,KEN,ke,:ke:,Kenya,F
68,2:24:16,,Prisca JEPTOO,24 JUN 1984,KEN,9,,Valencia (ESP),01 DEC 2019,1190,2019,0 days 02:24:16,8656,KEN,ke,:ke:,Kenya,F
70,2:24:19,,Miyuki UEHARA,22 NOV 1995,JPN,9,,Nagoya (JPN),10 MAR 2019,1189,2019,0 days 02:24:19,8659,JPN,jp,:jp:,Japan,F
71,2:24:21,,Marta MEGRA,30 DEC 1990,ETH,1,,Hengshui (CHN),29 SEP 2019,1189,2019,0 days 02:24:21,8661,ETH,et,:et:,Ethiopia,F
72,2:24:28,,Gutemi Shone IMANA,17 NOV 1991,ETH,1,,Sevilla (ESP),17 FEB 2019,1188,2019,0 days 02:24:28,8668,ETH,et,:et:,Ethiopia,F
72,2:24:28,,Shuko GENEMO,13 SEP 1995,ETH,7,,Toronto (CAN),20 OCT 2019,1188,2019,0 days 02:24:28,8668,ETH,et,:et:,Ethiopia,F
72,2:24:28,,Yeshi Kalayu CHEKOLE,12 JUL 1997,ETH,3,,Abu Dhabi (UAE),06 DEC 2019,1188,2019,0 days 02:24:28,8668,ETH,et,:et:,Ethiopia,F
75,2:24:30,,Aberu Mekuria ZENNEBE,24 DEC 1983,ETH,1,,Chongqing (CHN),31 MAR 2019,1187,2019,0 days 02:24:30,8670,ETH,et,:et:,Ethiopia,F
76,2:24:33,,Mao ICHIYAMA,29 MAY 1997,JPN,7,,Tokyo (JPN),03 MAR 2019,1187,2019,0 days 02:24:33,8673,JPN,jp,:jp:,Japan,F
77,2:24:34,,Genet YALEW,31 DEC 1992,ETH,3,,Praha (CZE),05 MAY 2019,1187,2019,0 days 02:24:34,8674,ETH,et,:et:,Ethiopia,F
78,2:24:41,,Dibabe KUMA,14 SEP 1996,ETH,1,,Hamburg (GER),28 APR 2019,1186,2019,0 days 02:24:41,8681,ETH,et,:et:,Ethiopia,F
79,2:24:42,,Worknesh ALEMU,19 MAR 1990,ETH,6,,Amsterdam (NED),20 OCT 2019,1185,2019,0 days 02:24:42,8682,ETH,et,:et:,Ethiopia,F
79,2:24:42,,Caroline ROTICH,13 MAY 1984,KEN,5,,Frankfurt (GER),27 OCT 2019,1185,2019,0 days 02:24:42,8682,KEN,ke,:ke:,Kenya,F
81,2:24:47,,Salomé ROCHA,25 APR 1990,POR,8,,London (GBR),28 APR 2019,1185,2019,0 days 02:24:47,8687,PRT,pt,:pt:,,F
82,2:24:48,,Celestine CHEPCHIRCHIR,18 DEC 1995,KEN,3,,Seoul (KOR),17 MAR 2019,1184,2019,0 days 02:24:48,8688,KEN,ke,:ke:,Kenya,F
83,2:24:53,,Abeba-Tekulu GEBREMESKEL,1989,ETH,2,,Sevilla (ESP),17 FEB 2019,1184,2019,0 days 02:24:53,8693,ETH,et,:et:,Ethiopia,F
84,2:24:55,,Zinash MEKONNEN,11 SEP 1996,ETH,10,,Valencia (ESP),01 DEC 2019,1183,2019,0 days 02:24:55,8695,ETH,et,:et:,Ethiopia,F
85,2:25:03,,Askale MERACHI,04 JAN 1987,ETH,6,,Frankfurt (GER),27 OCT 2019,1182,2019,0 days 02:25:03,8703,ETH,et,:et:,Ethiopia,F
86,2:25:10,,Sally KIPYEGO,19 DEC 1985,USA,7,,Berlin (GER),29 SEP 2019,1181,2019,0 days 02:25:10,8710,USA,us,:us:,United States,F
87,2:25:11,,Sharon Jemutai CHEROP,16 MAR 1984,KEN,5,,Ljubljana (SLO),27 OCT 2019,1181,2019,0 days 02:25:11,8711,KEN,ke,:ke:,Kenya,F
88,2:25:15,,Honami MAEDA,17 JUL 1996,JPN,1,,Tokyo (JPN),15 SEP 2019,1180,2019,0 days 02:25:15,8715,JPN,jp,:jp:,Japan,F
89,2:25:18,,Angela TANUI,27 JUL 1992,KEN,4,,Istanbul (TUR),03 NOV 2019,1179,2019,0 days 02:25:18,8718,KEN,ke,:ke:,Kenya,F
90,2:25:20,,Josephine CHEPKOECH,21 APR 1989,KEN,2,,Barcelona (ESP),10 MAR 2019,1179,2019,0 days 02:25:20,8720,KEN,ke,:ke:,Kenya,F
90,2:25:20,,Agnes Jeruto BARSOSIO,05 AUG 1982,KEN,1,,Hangzhou (CHN),03 NOV 2019,1179,2019,0 days 02:25:20,8720,KEN,ke,:ke:,Kenya,F
92,2:25:25,,Sairi MAEDA,07 NOV 1991,JPN,10,,Nagoya (JPN),10 MAR 2019,1178,2019,0 days 02:25:25,8725,JPN,jp,:jp:,Japan,F
93,2:25:26,,Sentayehu LEWETEGN,09 MAY 1996,ETH,6,,Ljubljana (SLO),27 OCT 2019,1178,2019,0 days 02:25:26,8726,ETH,et,:et:,Ethiopia,F
94,2:25:27,,Emma BATES,08 JUL 1992,USA,4,,"Chicago, IL (USA)",13 OCT 2019,1178,2019,0 days 02:25:27,8727,USA,us,:us:,United States,F
95,2:25:28,,Mizuki TANIMOTO,18 DEC 1994,JPN,11,,Nagoya (JPN),10 MAR 2019,1178,2019,0 days 02:25:28,8728,JPN,jp,:jp:,Japan,F
96,2:25:29,,Sifan MELAKU,05 FEB 2000,ETH,5,,Istanbul (TUR),03 NOV 2019,1178,2019,0 days 02:25:29,8729,ETH,et,:et:,Ethiopia,F
96,2:25:29,,Jess PIASECKI,18 APR 1990,GBR,1,,Firenze (ITA),24 NOV 2019,1178,2019,0 days 02:25:29,8729,GBR,gb,:gb:,United Kingdom,F
98,2:25:38,,Charlotte PURDUE,10 JUN 1991,GBR,10,,London (GBR),28 APR 2019,1176,2019,0 days 02:25:38,8738,GBR,gb,:gb:,United Kingdom,F
99,2:25:39,,Fatuma SADO,11 OCT 1991,ETH,1,,Osaka (JPN),27 JAN 2019,1176,2019,0 days 02:25:39,8739,ETH,et,:et:,Ethiopia,F
100,2:25:46,,Rei OHARA,10 AUG 1990,JPN,2,,Osaka (JPN),27 JAN 2019,1175,2019,0 days 02:25:46,8746,JPN,jp,:jp:,Japan,F
1,2:18:11,,Gladys CHERONO,12 MAY 1983,KEN,1,,Berlin (GER),16 SEP 2018,1252,2018,0 days 02:18:11,8291,KEN,ke,:ke:,Kenya,F
2,2:18:31,,Vivian Jepkemei CHERUIYOT,11 SEP 1983,KEN,1,,London (GBR),22 APR 2018,1249,2018,0 days 02:18:31,8311,KEN,ke,:ke:,Kenya,F
3,2:18:34,,Ruti AGA,16 JAN 1994,ETH,2,,Berlin (GER),16 SEP 2018,1248,2018,0 days 02:18:34,8314,ETH,et,:et:,Ethiopia,F
4,2:18:35,,Brigid KOSGEI,20 FEB 1994,KEN,1,,"Chicago, IL (USA)",07 OCT 2018,1248,2018,0 days 02:18:35,8315,KEN,ke,:ke:,Kenya,F
4,2:18:35,,Ruth CHEPNGETICH,08 AUG 1994,KEN,1,,Istanbul (TUR),11 NOV 2018,1248,2018,0 days 02:18:35,8315,KEN,ke,:ke:,Kenya,F
6,2:18:55,,Tirunesh DIBABA,01 OCT 1985,ETH,3,,Berlin (GER),16 SEP 2018,1244,2018,0 days 02:18:55,8335,ETH,et,:et:,Ethiopia,F
7,2:19:17,,Roza DEREJE,09 MAY 1997,ETH,1,,Dubai (UAE),26 JAN 2018,1241,2018,0 days 02:19:17,8357,ETH,et,:et:,Ethiopia,F
8,2:19:30,,Boru Feyse TADESE,19 NOV 1988,ETH,2,,Dubai (UAE),26 JAN 2018,1238,2018,0 days 02:19:30,8370,ETH,et,:et:,Ethiopia,F
9,2:19:36,,Yebrgual MELESE,18 APR 1990,ETH,3,,Dubai (UAE),26 JAN 2018,1237,2018,0 days 02:19:36,8376,ETH,et,:et:,Ethiopia,F
10,2:19:51,,Birhane DIBABA,11 SEP 1993,ETH,1,,Tokyo (JPN),25 FEB 2018,1235,2018,0 days 02:19:51,8391,ETH,et,:et:,Ethiopia,F
11,2:19:53,,Worknesh DEGEFA,28 OCT 1990,ETH,4,,Dubai (UAE),26 JAN 2018,1234,2018,0 days 02:19:53,8393,ETH,et,:et:,Ethiopia,F
12,2:20:13,,Haftamnesh TESFAYE,28 APR 1994,ETH,5,,Dubai (UAE),26 JAN 2018,1231,2018,0 days 02:20:13,8413,ETH,et,:et:,Ethiopia,F
13,2:20:36,,Meskerem ASSEFA,03 OCT 1991,ETH,1,,Frankfurt (GER),28 OCT 2018,1227,2018,0 days 02:20:36,8436,ETH,et,:et:,Ethiopia,F
14,2:20:45,,Gelete BURKA,23 JAN 1986,ETH,6,,Dubai (UAE),26 JAN 2018,1226,2018,0 days 02:20:45,8445,ETH,et,:et:,Ethiopia,F
15,2:21:14,,Ashete BEKERE,17 APR 1988,ETH,1,,Valencia (ESP),02 DEC 2018,1221,2018,0 days 02:21:14,8474,ETH,et,:et:,Ethiopia,F
16,2:21:18,,Edna Ngeringwony KIPLAGAT,15 NOV 1979,KEN,4,,Berlin (GER),16 SEP 2018,1220,2018,0 days 02:21:18,8478,KEN,ke,:ke:,Kenya,F
17,2:21:32,,Bedatu HIRPA,28 APR 1999,ETH,3,,Frankfurt (GER),28 OCT 2018,1218,2018,0 days 02:21:32,8492,ETH,et,:et:,Ethiopia,F
18,2:21:38,,Valary JEMELI,08 JUN 1991,KEN,1,,Beijing (CHN),16 SEP 2018,1217,2018,0 days 02:21:38,8498,KEN,ke,:ke:,Kenya,F
19,2:21:40,,Tadelech BEKELE,11 APR 1991,ETH,3,,London (GBR),22 APR 2018,1216,2018,0 days 02:21:40,8500,ETH,et,:et:,Ethiopia,F
20,2:21:42,,Amy CRAGG,21 JAN 1984,USA,3,,Tokyo (JPN),25 FEB 2018,1216,2018,0 days 02:21:42,8502,USA,us,:us:,United States,F
21,2:21:45,,Dera DIDA,26 OCT 1996,ETH,7,,Dubai (UAE),26 JAN 2018,1215,2018,0 days 02:21:45,8505,ETH,et,:et:,Ethiopia,F
22,2:21:51,,Azmera ABREHA,31 JAN 1998,ETH,2,,Shanghai (CHN),18 NOV 2018,1214,2018,0 days 02:21:51,8511,ETH,et,:et:,Ethiopia,F
23,2:21:53,,Belaynesh OLJIRA,26 JUN 1990,ETH,4,,Frankfurt (GER),28 OCT 2018,1214,2018,0 days 02:21:53,8513,ETH,et,:et:,Ethiopia,F
24,2:22:07,,Shure DEMISE,21 JAN 1996,ETH,4,,Tokyo (JPN),25 FEB 2018,1212,2018,0 days 02:22:07,8527,ETH,et,:et:,Ethiopia,F
25,2:22:11,,Lydia CHEROMEI,11 MAY 1977,KEN,2,,Valencia (ESP),02 DEC 2018,1211,2018,0 days 02:22:11,8531,KEN,ke,:ke:,Kenya,F
26,2:22:23,,Mizuki MATSUDA,31 MAY 1995,JPN,5,,Berlin (GER),16 SEP 2018,1209,2018,0 days 02:22:23,8543,JPN,jp,:jp:,Japan,F
27,2:22:29,,Mimi BELETE,09 JUN 1988,BRN,1,,Toronto (CAN),21 OCT 2018,1208,2018,0 days 02:22:29,8549,BRN,bn,:bn:,Brunei Darussalam,F
28,2:22:35,,Marta MEGRA,30 DEC 1990,ETH,2,,Toronto (CAN),21 OCT 2018,1207,2018,0 days 02:22:35,8555,ETH,et,:et:,Ethiopia,F
29,2:22:45,,Sentayehu LEWETEGN,09 MAY 1996,ETH,6,,Frankfurt (GER),28 OCT 2018,1205,2018,0 days 02:22:45,8565,ETH,et,:et:,Ethiopia,F
30,2:22:46,,Nancy Jepkosgei KIPROP,07 JUL 1979,KEN,7,,Frankfurt (GER),28 OCT 2018,1205,2018,0 days 02:22:46,8566,KEN,ke,:ke:,Kenya,F
31,2:22:48,,Helen BEKELE,21 NOV 1994,ETH,6,,Berlin (GER),16 SEP 2018,1205,2018,0 days 02:22:48,8568,ETH,et,:et:,Ethiopia,F
31,2:22:48,,Mary Jepkosgei KEITANY,18 JAN 1982,KEN,1,,"New York, NY (USA)",04 NOV 2018,1205,2018,0 days 02:22:48,8568,KEN,ke,:ke:,Kenya,F
33,2:22:56,,Betsy SAINA,30 JUN 1988,KEN,1,,Paris (FRA),08 APR 2018,1203,2018,0 days 02:22:56,8576,KEN,ke,:ke:,Kenya,F
34,2:22:58,,Visiline JEPKESHO,30 DEC 1989,KEN,1,,Ljubljana (SLO),28 OCT 2018,1203,2018,0 days 02:22:58,8578,KEN,ke,:ke:,Kenya,F
35,2:23:06,,Gulume CHALA,11 SEP 1992,ETH,3,,Paris (FRA),08 APR 2018,1202,2018,0 days 02:23:06,8586,ETH,et,:et:,Ethiopia,F
36,2:23:07,,Hanami SEKINE,26 FEB 1996,JPN,3,,Nagoya (JPN),11 MAR 2018,1201,2018,0 days 02:23:07,8587,JPN,jp,:jp:,Japan,F
37,2:23:15,,Selly Chepyego KAPTICH,03 OCT 1985,KEN,2,,Ljubljana (SLO),28 OCT 2018,1200,2018,0 days 02:23:15,8595,KEN,ke,:ke:,Kenya,F
38,2:23:28,,Shasho INSERMU,16 SEP 1993,ETH,2,,Amsterdam (NED),21 OCT 2018,1198,2018,0 days 02:23:28,8608,ETH,et,:et:,Ethiopia,F
39,2:23:29,,Ruth CHEBITOK,26 DEC 1990,KEN,3,,Toronto (CAN),21 OCT 2018,1198,2018,0 days 02:23:29,8609,KEN,ke,:ke:,Kenya,F
40,2:23:31,,Azmera GEBRU,31 OCT 1995,ETH,3,,Amsterdam (NED),21 OCT 2018,1197,2018,0 days 02:23:31,8611,ETH,et,:et:,Ethiopia,F
41,2:23:34,,Dibabe KUMA,14 SEP 1996,ETH,3,,Ljubljana (SLO),28 OCT 2018,1197,2018,0 days 02:23:34,8614,ETH,et,:et:,Ethiopia,F
42,2:23:37,,Tinbit GIDEY,17 SEP 1989,ETH,3,,Valencia (ESP),02 DEC 2018,1196,2018,0 days 02:23:37,8617,ETH,et,:et:,Ethiopia,F
43,2:23:39,,Desi Jisa MOKONIN,12 JUL 1997,BRN,4,,Amsterdam (NED),21 OCT 2018,1196,2018,0 days 02:23:39,8619,BRN,bn,:bn:,Brunei Darussalam,F
44,2:23:40,,Betty Wilson LEMPUS,09 JUL 1991,KEN,3,,Shanghai (CHN),18 NOV 2018,1196,2018,0 days 02:23:40,8620,KEN,ke,:ke:,Kenya,F
45,2:23:43,,Stellah Jepngetich BARSOSIO,12 MAR 1993,KEN,5,,Paris (FRA),08 APR 2018,1195,2018,0 days 02:23:43,8623,KEN,ke,:ke:,Kenya,F
46,2:23:46,,Rahma TUSA,14 SEP 1993,ETH,1,,Roma (ITA),08 APR 2018,1195,2018,0 days 02:23:46,8626,ETH,et,:et:,Ethiopia,F
46,2:23:46,,Linet Chepkwemoi MASAI,05 DEC 1989,KEN,5,,Amsterdam (NED),21 OCT 2018,1195,2018,0 days 02:23:46,8626,KEN,ke,:ke:,Kenya,F
48,2:23:48,,Honami MAEDA,17 JUL 1996,JPN,2,,Osaka (JPN),28 JAN 2018,1195,2018,0 days 02:23:48,8628,JPN,jp,:jp:,Japan,F
